,↑,→,↓,←
"[0, 0]",-9.877936435607033,-9.874827953775066,-9.870825289626413,-9.87809609429515
"[0, 1]",-9.389482860573356,-9.391943467599079,-9.390064051452237,-9.390311192704626
"[0, 2]",-8.771201343447776,-8.766633435636935,-8.773142191468132,-8.77473107884466
"[0, 3]",-8.085057711989835,-8.078456051742567,-8.08514395482687,-8.08444261508081
"[0, 4]",-7.355560858986931,-7.352119676810447,-7.360038722748791,-7.353653358790102
"[0, 5]",-6.602164904190336,-6.598800674581281,-6.599861128162574,-6.613076034166259
"[0, 6]",-5.833228465401006,-5.829143913920527,-5.830631230381223,-5.834812425646846
"[0, 7]",-5.048565064045201,-5.043095122753262,-5.04866259479718,-5.057878590230201
"[0, 8]",-4.247379237408985,-4.24645138629695,-4.251764678862394,-4.2520617267724345
"[0, 9]",-3.449123605055549,-3.447256746174114,-3.4464487821064265,-3.457694569952063
"[0, 10]",-2.6544265466623944,-2.6517248175369432,-2.6546949183017094,-2.6628618973213625
"[0, 11]",-1.9019164845795011,-1.9016078557758191,-1.8946158999570368,-1.9053904586179218
"[1, 0]",-10.322951135716774,-10.323092610034383,-10.325570300522873,-10.327692186688362
"[1, 1]",-9.666608541542733,-9.66628959505787,-9.665202114491558,-9.678082540498382
"[1, 2]",-8.928926941959402,-8.926284771043578,-8.928532263199267,-8.930937113912096
"[1, 3]",-8.156863468287717,-8.14923706469044,-8.2376238313813,-8.163588711781646
"[1, 4]",-7.345664779741127,-7.339360841745262,-7.344795050045091,-7.345026870825823
"[1, 5]",-6.510298940347178,-6.510987704711123,-6.511996157421319,-6.525398265002814
"[1, 6]",-5.665776023350374,-5.654828266291632,-5.6552263903547075,-5.661428193019435
"[1, 7]",-4.7975141865153095,-4.776362882883676,-4.777379776039285,-4.792790183991954
"[1, 8]",-3.8728700525113964,-3.869527029422638,-3.8722027663483325,-3.8753979112306434
"[1, 9]",-2.941924434444699,-2.9332655576568496,-2.9334715321531877,-2.936985555969095
"[1, 10]",-1.9762566208741226,-1.9756339825569165,-1.9757298491889024,-1.9758334998271478
"[1, 11]",-1.0367356422954317,-1.0048401945700158,-0.9997761046143323,-1.0076678317963452
"[2, 0]",-11.029318865138363,-10.959086637278196,-11.041979344813056,-11.028890710452128
"[2, 1]",-10.148900875761,-9.945055150997554,-20.638571635634445,-10.147491287768705
"[2, 2]",-9.199553328939126,-8.991277169551568,-26.02996266117195,-9.327157041253715
"[2, 3]",-8.30146525943083,-8.059882492623341,-25.282790566840355,-8.294300160994215
"[2, 4]",-7.2561033487742845,-7.084994644032114,-26.76966303456023,-7.296892589998048
"[2, 5]",-6.513830286832321,-6.086885020108927,-22.21786406008532,-6.513696680510513
"[2, 6]",-5.343903078199753,-5.149076047055729,-26.02996266117195,-5.333754238426059
"[2, 7]",-4.337828726742956,-4.21946364322065,-19.027213177874142,-4.3503236823644
"[2, 8]",-3.4240911507479033,-3.207157303432178,-17.383137616441324,-3.4023519921645873
"[2, 9]",-2.448201474970925,-2.0154730044853033,-21.4321859192781,-2.376384080868461
"[2, 10]",-1.3916136497072695,-1.0036851486930327,-15.705680661607312,-1.3840288389902369
"[2, 11]",-0.356973628540389,-0.22217864060085324,0.0,-0.3856368548332116
"[3, 0]",-11.846354066158483,-31.744540498961268,-11.853083541385756,-11.853368226572679
"[3, 1]",0.0,0.0,0.0,0.0
"[3, 2]",0.0,0.0,0.0,0.0
"[3, 3]",0.0,0.0,0.0,0.0
"[3, 4]",0.0,0.0,0.0,0.0
"[3, 5]",0.0,0.0,0.0,0.0
"[3, 6]",0.0,0.0,0.0,0.0
"[3, 7]",0.0,0.0,0.0,0.0
"[3, 8]",0.0,0.0,0.0,0.0
"[3, 9]",0.0,0.0,0.0,0.0
"[3, 10]",0.0,0.0,0.0,0.0
"[3, 11]",0.0,0.0,0.0,0.0
